# Generated by Log[com.rapidminer.datatable.SimpleDataTable]
# c	perf	degree	gamma	precision	recall
0.001	0.743801652892562	2.0	0.001	0.0937190082644628	0.126
0.010000000000000002	0.7545454545454545	2.0	0.001	0.09507272727272727	0.126
0.10000000000000003	0.7512396694214876	2.0	0.001	0.2758708175469028	0.17833638676844782
0.9999999999999998	0.7305785123966942	2.0	0.001	0.2967980181390662	0.19137245325480617
10.000000000000005	0.7388429752066116	2.0	0.001	0.26240021231422506	0.2212724848319077
100.0	0.7223140495867768	2.0	0.001	0.4150545177009406	0.4136918298893731
0.001	0.7413223140495868	2.0	0.010000000000000002	0.09340661157024793	0.126
0.010000000000000002	0.7429752066115702	2.0	0.010000000000000002	0.09361487603305785	0.126
0.10000000000000003	0.7380165289256199	2.0	0.010000000000000002	0.25874405405405404	0.21184704313028013
0.9999999999999998	0.743801652892562	2.0	0.010000000000000002	0.27122481010956506	0.218818320610687
10.000000000000005	0.7504132231404959	2.0	0.010000000000000002	0.481345450985511	0.3883058246733444
100.0	0.6975206611570248	2.0	0.010000000000000002	0.4557276250685058	0.5657669561293146
0.001	0.7537190082644628	2.0	0.10000000000000003	0.09496859504132231	0.126
0.010000000000000002	0.7338842975206612	2.0	0.10000000000000003	0.09246942148760331	0.126
0.10000000000000003	0.7454545454545455	2.0	0.10000000000000003	0.09392727272727273	0.126
0.9999999999999998	0.7041322314049587	2.0	0.10000000000000003	0.4859326677092105	0.2784300170842077
10.000000000000005	0.7057851239669422	2.0	0.10000000000000003	0.4457282226077308	0.4357872409838155
100.0	0.7165289256198347	2.0	0.10000000000000003	0.50415063139516	0.4675735157699444
0.001	0.7545454545454545	2.0	0.9999999999999998	0.09507272727272727	0.126
0.010000000000000002	0.7355371900826446	2.0	0.9999999999999998	0.09267768595041322	0.126
0.10000000000000003	0.7520661157024794	2.0	0.9999999999999998	0.09476033057851241	0.126
0.9999999999999998	0.7363636363636363	2.0	0.9999999999999998	0.09278181818181817	0.126
10.000000000000005	0.7363636363636363	2.0	0.9999999999999998	0.4611026839454613	0.17835364572886084
100.0	0.728099173553719	2.0	0.9999999999999998	0.5260705757001759	0.18137216325825078
0.001	0.7479338842975206	2.0	10.000000000000005	0.09423966942148759	0.126
0.010000000000000002	0.7454545454545455	2.0	10.000000000000005	0.09392727272727273	0.126
0.10000000000000003	0.7462809917355372	2.0	10.000000000000005	0.09403140495867769	0.126
0.9999999999999998	0.7578512396694215	2.0	10.000000000000005	0.09548925619834711	0.126
10.000000000000005	0.7338842975206612	2.0	10.000000000000005	0.632947964786891	0.1548529358036856
100.0	0.7479338842975206	2.0	10.000000000000005	0.6025227272727273	0.1609066696124409
0.001	0.7553719008264462	2.0	100.0	0.09517685950413222	0.126
0.010000000000000002	0.728099173553719	2.0	100.0	0.0917404958677686	0.126
0.10000000000000003	0.7628099173553718	2.0	100.0	0.09611404958677686	0.126
0.9999999999999998	0.740495867768595	2.0	100.0	0.09330247933884298	0.126
10.000000000000005	0.7661157024793388	2.0	100.0	0.7438238944630249	0.15663601675201339
100.0	0.7429752066115702	2.0	100.0	0.967345	0.15194325339147288
