# Generated by Log[com.rapidminer.datatable.SimpleDataTable]
# gamma	c	perf
1.0E-4	0.1	0.5264462809917355
1.0E-4	0.31622776601683794	0.6909090909090909
1.0E-4	0.9999999999999999	0.6785123966942149
1.0E-4	3.1622776601683795	0.7669421487603306
1.0E-4	9.999999999999998	0.7636363636363637
1.0E-4	31.622776601683803	0.7859504132231405
1.0E-4	100.0	0.7876033057851239
3.1622776601683794E-4	0.1	0.5057851239669422
3.1622776601683794E-4	0.31622776601683794	0.6479338842975206
3.1622776601683794E-4	0.9999999999999999	0.7462809917355372
3.1622776601683794E-4	3.1622776601683795	0.7578512396694215
3.1622776601683794E-4	9.999999999999998	0.7793388429752066
3.1622776601683794E-4	31.622776601683803	0.7900826446280992
3.1622776601683794E-4	100.0	0.7975206611570248
9.999999999999998E-4	0.1	0.6685950413223141
9.999999999999998E-4	0.31622776601683794	0.7074380165289256
9.999999999999998E-4	0.9999999999999999	0.7504132231404959
9.999999999999998E-4	3.1622776601683795	0.7619834710743801
9.999999999999998E-4	9.999999999999998	0.7768595041322314
9.999999999999998E-4	31.622776601683803	0.7735537190082644
9.999999999999998E-4	100.0	0.7867768595041322
0.0031622776601683794	0.1	0.7330578512396694
0.0031622776601683794	0.31622776601683794	0.7429752066115702
0.0031622776601683794	0.9999999999999999	0.7826446280991736
0.0031622776601683794	3.1622776601683795	0.7876033057851239
0.0031622776601683794	9.999999999999998	0.7801652892561983
0.0031622776601683794	31.622776601683803	0.7801652892561983
0.0031622776601683794	100.0	0.48925619834710743
0.009999999999999998	0.1	0.7198347107438017
0.009999999999999998	0.31622776601683794	0.7297520661157024
0.009999999999999998	0.9999999999999999	0.7652892561983471
0.009999999999999998	3.1622776601683795	0.7677685950413223
0.009999999999999998	9.999999999999998	0.7818181818181819
0.009999999999999998	31.622776601683803	0.7553719008264462
0.009999999999999998	100.0	0.7289256198347107
0.031622776601683805	0.1	0.6743801652892562
0.031622776601683805	0.31622776601683794	0.7330578512396694
0.031622776601683805	0.9999999999999999	0.7537190082644628
0.031622776601683805	3.1622776601683795	0.724793388429752
0.031622776601683805	9.999999999999998	0.7090909090909091
0.031622776601683805	31.622776601683803	0.7041322314049587
0.031622776601683805	100.0	0.71900826446281
0.1	0.1	0.5925619834710744
0.1	0.31622776601683794	0.628099173553719
0.1	0.9999999999999999	0.7066115702479339
0.1	3.1622776601683795	0.6991735537190082
0.1	9.999999999999998	0.6933884297520662
0.1	31.622776601683803	0.6966942148760331
0.1	100.0	0.7
