# Generated by Log[com.rapidminer.datatable.SimpleDataTable]
# gamma	c	perf
0.001	1.0E-4	0.9140495867768595
0.001	0.0010000000000000002	0.9041322314049587
0.001	0.010000000000000004	0.8958677685950414
0.001	0.09999999999999998	0.8966942148760331
0.001	1.0000000000000007	0.8983471074380165
0.001	10.0	0.8991735537190083
0.010000000000000002	1.0E-4	0.8958677685950414
0.010000000000000002	0.0010000000000000002	0.9
0.010000000000000002	0.010000000000000004	0.9016528925619834
0.010000000000000002	0.09999999999999998	0.9024793388429752
0.010000000000000002	1.0000000000000007	0.8966942148760331
0.010000000000000002	10.0	0.8958677685950414
0.10000000000000003	1.0E-4	0.8900826446280992
0.10000000000000003	0.0010000000000000002	0.8991735537190083
0.10000000000000003	0.010000000000000004	0.9024793388429752
0.10000000000000003	0.09999999999999998	0.9090909090909091
0.10000000000000003	1.0000000000000007	0.9132231404958677
0.10000000000000003	10.0	0.8826446280991735
0.9999999999999998	1.0E-4	0.8933884297520661
0.9999999999999998	0.0010000000000000002	0.8917355371900827
0.9999999999999998	0.010000000000000004	0.8925619834710744
0.9999999999999998	0.09999999999999998	0.903305785123967
0.9999999999999998	1.0000000000000007	0.9016528925619834
0.9999999999999998	10.0	0.9024793388429752
10.000000000000005	1.0E-4	0.9049586776859504
10.000000000000005	0.0010000000000000002	0.8933884297520661
10.000000000000005	0.010000000000000004	0.9008264462809917
10.000000000000005	0.09999999999999998	0.8884297520661157
10.000000000000005	1.0000000000000007	0.8983471074380165
10.000000000000005	10.0	0.9024793388429752
100.0	1.0E-4	0.9090909090909091
100.0	0.0010000000000000002	0.8991735537190083
100.0	0.010000000000000004	0.8983471074380165
100.0	0.09999999999999998	0.9024793388429752
100.0	1.0000000000000007	0.9
100.0	10.0	0.8983471074380165
