# Generated by Log[com.rapidminer.datatable.SimpleDataTable]
# c	perf	degree	gamma	precision	recall
0.001	0.743801652892562	0.0	0.0	0.0937190082644628	0.126
0.010000000000000002	0.7545454545454545	0.0	0.0	0.09507272727272727	0.126
0.10000000000000003	0.7578512396694215	0.0	0.0	0.09548925619834711	0.126
0.9999999999999998	0.7305785123966942	0.0	0.0	0.09205289256198347	0.126
10.000000000000005	0.7553719008264462	0.0	0.0	0.09517685950413222	0.126
100.0	0.7413223140495868	0.0	0.0	0.09340661157024793	0.126
0.001	0.7413223140495868	1.0	0.0	0.09340661157024793	0.126
0.010000000000000002	0.7429752066115702	1.0	0.0	0.09361487603305785	0.126
0.10000000000000003	0.7504132231404959	1.0	0.0	0.27738389870998564	0.1396495331258337
0.9999999999999998	0.759504132231405	1.0	0.0	0.316812050065445	0.1976404580152672
10.000000000000005	0.7504132231404959	1.0	0.0	0.3127071068638802	0.18349713516620142
100.0	0.7471074380165289	1.0	0.0	0.2965923547400612	0.24919096329522455
