f1-score,gamma,c,d
0.1063839541547278,0.0,0.9999999999999998,0.0
0.10728239202657808,0.0,100.0,0.0
0.10728239202657808,0.0,0.001,1.0
0.10741963015647225,0.0,0.010000000000000002,1.0
0.10748815165876777,0.0,0.001,0.0
0.10837305699481867,0.0,0.010000000000000002,0.0
0.10844067796610168,0.0,10.000000000000005,0.0
0.10864315937940762,0.0,0.10000000000000003,0.0
0.1857718302388913,0.0,0.10000000000000003,1.0
0.23127919270047106,0.0,10.000000000000005,1.0
0.24342335860423758,0.0,0.9999999999999998,1.0
0.2708332488055141,0.0,100.0,1.0
